AAR2,Predicted intracellular proteins
NFATC2,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
NFS1,"Enzymes, Predicted intracellular proteins"
NINL,Predicted intracellular proteins
NKAIN4,"Predicted intracellular proteins, Predicted membrane proteins"
NKX2-2,"Predicted intracellular proteins, Transcription factors"
NKX2-4,"Predicted intracellular proteins, Transcription factors"
NNAT,Predicted membrane proteins
NOL4L,Predicted intracellular proteins
NOP56,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
NPBWR2,"G-protein coupled receptors, Predicted membrane proteins, Transporters"
NPEPL1,"Enzymes, Predicted intracellular proteins"
NRSN2,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
NSFL1C,"Plasma proteins, Predicted intracellular proteins"
NTSR1,"G-protein coupled receptors, Predicted membrane proteins, Transporters"
NXT1,Predicted intracellular proteins
OCSTAMP,"Predicted membrane proteins, Transporters"
OGFR,Predicted intracellular proteins
OPRL1,"G-protein coupled receptors, Predicted membrane proteins"
OSBPL2,"Disease related genes, Predicted intracellular proteins"
OSER1,Predicted intracellular proteins
OTOR,Predicted secreted proteins
OVOL2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
OXT,"Plasma proteins, Predicted secreted proteins"
PABPC1L,Predicted intracellular proteins
PAK5,"Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
PANK2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
PARD6B,Predicted intracellular proteins
PAX1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
PCED1A,Predicted intracellular proteins
PCIF1,"Plasma proteins, Predicted intracellular proteins"
PCK1,"Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
PCMTD2,Predicted intracellular proteins
PCNA,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
PCSK2,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"
PDRG1,Predicted intracellular proteins
PDYN,"Disease related genes, Potential drug targets, Predicted secreted proteins, Transporters"
PET117,Predicted secreted proteins
PFDN4,"Plasma proteins, Predicted intracellular proteins"
PHACTR3,Predicted intracellular proteins
PHF20,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
PI3,"Plasma proteins, Predicted secreted proteins"
PIGT,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
PIGU,Predicted membrane proteins
PKIG,Predicted intracellular proteins
PLAGL2,"Predicted intracellular proteins, Transcription factors"
PLCB1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
PLCB4,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
PLCG1,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
PLTP,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"
PMEPA1,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
POFUT1,"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins"
POLR3F,"Predicted intracellular proteins, RNA polymerase related proteins"
PPDPF,Predicted intracellular proteins
PPP1R3D,Predicted intracellular proteins
PPP1R16B,Predicted intracellular proteins
PRELID3B,Predicted intracellular proteins
PREX1,Predicted intracellular proteins
PRND,"Predicted membrane proteins, Transporters"
PRNP,"CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters"
PROCR,"Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
PROKR2,"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins"
PRPF6,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
PSMA7,"Enzymes, Plasma proteins, Predicted intracellular proteins"
PSMF1,Predicted intracellular proteins
PTGIS,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins"
PTK6,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
PTPN1,"Enzymes, Predicted membrane proteins"
PTPRA,"Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"
PTPRT,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
PXMP4,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
PYGB,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
R3HDML,Predicted secreted proteins
RAB5IF,NA
RAB22A,Predicted intracellular proteins
RAD21L1,Predicted intracellular proteins
RAE1,"Plasma proteins, Predicted intracellular proteins, Transporters"
RALGAPA2,"Predicted intracellular proteins, Predicted membrane proteins"
RALGAPB,"Plasma proteins, Predicted intracellular proteins"
RALY,"Plasma proteins, Predicted intracellular proteins"
RASSF2,Predicted intracellular proteins
RBBP8NL,Predicted intracellular proteins
RBBP9,Predicted intracellular proteins
RBCK1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
RBL1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
RBM12,Predicted intracellular proteins
RBM38,Predicted intracellular proteins
RBM39,"Plasma proteins, Predicted intracellular proteins"
RBPJL,"Predicted intracellular proteins, Transcription factors"
REM1,Predicted intracellular proteins
RGS19,Predicted intracellular proteins
RIMS4,Predicted intracellular proteins
RIN2,"Disease related genes, Predicted intracellular proteins"
RIPOR3,NA
RNF24,Predicted membrane proteins
RNF114,"Enzymes, Predicted intracellular proteins"
ROMO1,"Predicted intracellular proteins, Transporters"
RPN2,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
RPRD1B,Predicted intracellular proteins
RPS21,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins"
RRBP1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
RSPO4,"Disease related genes, Predicted secreted proteins"
RTEL1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
RTF2,NA
SALL4,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
SAMD10,Predicted intracellular proteins
SAMHD1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
SCAND1,"Plasma proteins, Predicted intracellular proteins"
SCP2D1,Predicted intracellular proteins
SCRT2,"Predicted intracellular proteins, Transcription factors"
SDC4,"Cancer-related genes, Predicted membrane proteins, Transporters"
SDCBP2,Predicted intracellular proteins
SEC23B,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
SEL1L2,"Predicted intracellular proteins, Predicted membrane proteins"
SEMG1,"Plasma proteins, Predicted secreted proteins"
SEMG2,"Plasma proteins, Predicted secreted proteins"
SERINC3,"Predicted membrane proteins, Transporters"
SGK2,"Enzymes, Predicted intracellular proteins"
SIGLEC1,"CD markers, Predicted intracellular proteins, Predicted membrane proteins"
SIRPA,"CD markers, Plasma proteins, Predicted membrane proteins"
SIRPB1,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
SIRPB2,Predicted membrane proteins
SIRPD,"Predicted intracellular proteins, Predicted secreted proteins"
SIRPG,"CD markers, Predicted membrane proteins"
SLA2,"Plasma proteins, Predicted intracellular proteins"
SLC2A4RG,Predicted intracellular proteins
SLC2A10,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
SLC4A11,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
SLC9A8,"Plasma proteins, Predicted membrane proteins, Transporters"
SLC12A5,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
SLC13A3,"Predicted membrane proteins, Transporters"
SLC17A9,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
SLC23A2,"Predicted membrane proteins, Transporters"
SLC24A3,"Predicted membrane proteins, Transporters"
SLC32A1,"Predicted membrane proteins, Transporters"
SLC35C2,"Predicted membrane proteins, Transporters"
SLC52A3,"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
SLCO4A1,"Predicted membrane proteins, Transporters"
SLPI,"Cancer-related genes, Plasma proteins, Predicted secreted proteins"
SLX4IP,"Disease related genes, Predicted intracellular proteins"
SMIM26,NA
SMOX,"Enzymes, FDA approved drug targets, Predicted intracellular proteins"
SNAI1,"Predicted intracellular proteins, Transcription factors"
SNAP25,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters"
SNPH,Predicted membrane proteins
SNRPB,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
SNRPB2,"Plasma proteins, Predicted intracellular proteins"
SNTA1,"Disease related genes, Predicted intracellular proteins"
SNX5,Predicted intracellular proteins
SNX21,Predicted intracellular proteins
SOGA1,"Plasma proteins, Predicted intracellular proteins"
SOX12,"Predicted intracellular proteins, Transcription factors"
SOX18,"Disease related genes, Predicted intracellular proteins, Transcription factors"
SPAG4,"Predicted intracellular proteins, Predicted membrane proteins"
SPATA2,Predicted intracellular proteins
SPATA25,Predicted intracellular proteins
SPEF1,Predicted intracellular proteins
SPINT3,Predicted secreted proteins
SPINT4,Predicted secreted proteins
SPO11,"Enzymes, Plasma proteins, Predicted intracellular proteins"
SPTLC3,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
SRC,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
SRMS,"Enzymes, Predicted intracellular proteins"
SRSF6,Predicted intracellular proteins
SRXN1,"Enzymes, Predicted intracellular proteins"
SS18L1,"Cancer-related genes, Predicted intracellular proteins"
SSTR4,"G-protein coupled receptors, Predicted membrane proteins"
STAU1,"Plasma proteins, Predicted intracellular proteins"
STK4,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
STK35,"Enzymes, Predicted intracellular proteins"
STMN3,Predicted intracellular proteins
STX16,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
SULF2,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
SUN5,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
SYCP2,Predicted intracellular proteins
SYNDIG1,Predicted membrane proteins
SYS1,Predicted membrane proteins
TAF4,Predicted intracellular proteins
TASP1,Predicted intracellular proteins
TBC1D20,"Disease related genes, Predicted membrane proteins"
TCEA2,Predicted intracellular proteins
TCF15,"Predicted intracellular proteins, Transcription factors"
TCFL5,"Predicted intracellular proteins, Transcription factors"
TFAP2C,"Predicted intracellular proteins, Transcription factors"
TGIF2,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
TGM2,"Enzymes, Predicted intracellular proteins"
TGM3,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
TGM6,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
THBD,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Predicted membrane proteins"
TLDC2,Predicted intracellular proteins
TM9SF4,"Predicted membrane proteins, Transporters"
TMC2,Predicted membrane proteins
TMEM74B,Predicted membrane proteins
TMEM189,Predicted membrane proteins
TMEM230,Predicted membrane proteins
TMEM239,Predicted membrane proteins
TMX4,Predicted membrane proteins
TNFRSF6B,Predicted secreted proteins
TNNC2,Predicted intracellular proteins
TOMM34,Predicted intracellular proteins
TOP1,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"
TOX2,"Predicted intracellular proteins, Transcription factors"
TP53INP2,Predicted intracellular proteins
TP53RK,"Enzymes, Predicted intracellular proteins"
TP53TG5,Predicted intracellular proteins
TPD52L2,"Plasma proteins, Predicted intracellular proteins"
TPX2,"Cancer-related genes, Predicted intracellular proteins"
TRIB3,"Enzymes, Predicted intracellular proteins"
TRMT6,Predicted intracellular proteins
TRPC4AP,Predicted intracellular proteins
TSHZ2,"Predicted intracellular proteins, Transcription factors"
TTI1,Predicted intracellular proteins
TTPAL,"Plasma proteins, Predicted intracellular proteins"
TUBB1,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
UBE2C,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
UBE2V1,Predicted intracellular proteins
UBOX5,"Enzymes, Predicted intracellular proteins"
UCKL1,"Enzymes, Predicted intracellular proteins"
UQCC1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
VAPB,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
VPS16,"Disease related genes, Predicted intracellular proteins"
VSTM2L,Predicted secreted proteins
VSX1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
WFDC2,"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins"
WFDC3,"Predicted intracellular proteins, Predicted secreted proteins"
WFDC5,Predicted secreted proteins
WFDC6,Predicted secreted proteins
WFDC8,Predicted secreted proteins
WFDC9,Predicted intracellular proteins
WFDC10A,Predicted secreted proteins
WFDC10B,"Predicted intracellular proteins, Predicted secreted proteins"
WFDC11,Predicted secreted proteins
WFDC12,Predicted secreted proteins
WFDC13,Predicted secreted proteins
WISP2,"Plasma proteins, Predicted secreted proteins"
XKR7,Predicted membrane proteins
XRN2,Predicted intracellular proteins
YTHDF1,Predicted intracellular proteins
YWHAB,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
ZBP1,Predicted intracellular proteins
ZBTB46,"Predicted intracellular proteins, Transcription factors"
ZCCHC3,Predicted intracellular proteins
ZFP64,"Predicted intracellular proteins, Transcription factors"
ZGPAT,"Predicted intracellular proteins, Transcription factors"
ZHX3,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
ZMYND8,Predicted intracellular proteins
ZNF133,"Predicted intracellular proteins, Transcription factors"
ZNF217,"Predicted intracellular proteins, Transcription factors"
ZNF334,"Predicted intracellular proteins, Transcription factors"
ZNF335,"Disease related genes, Predicted intracellular proteins, Transcription factors"
ZNF337,"Predicted intracellular proteins, Transcription factors"
ZNF341,"Predicted intracellular proteins, Transcription factors"
ZNF343,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
ZNF512B,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
ZNF831,Predicted intracellular proteins
ZNFX1,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
ZSWIM1,Predicted intracellular proteins
ZSWIM3,Predicted intracellular proteins
